time,low,high,open,close,volume
1521590400,8871.08,8949.00,8900.00,8936.99,510.33
1521594000,8937.00,8970.00,8937.00,8970.00,358.47
1521597600,8944.01,8988.00,8969.99,8959.00,452.62
1521601200,8950.00,9054.00,8959.00,9022.01,882.16
1521604800,9022.00,9143.16,9022.00,9060.90,1243.79
1521608400,9041.51,9112.25,9060.90,9042.38,383.79
1521612000,9015.53,9086.00,9042.38,9081.60,319.78
1521615600,8894.67,9089.94,9081.59,8931.13,764.99
1521619200,8893.38,8980.00,8931.13,8957.50,275.21
1521622800,8957.49,9073.05,8957.49,9052.79,214.87
1521626400,9050.00,9089.86,9052.80,9070.00,141.71
1521630000,9062.10,9117.00,9070.00,9073.39,295.92
1521633600,8970.49,9090.00,9073.40,9024.00,416.55
1521637200,9005.00,9072.00,9023.99,9023.38,304.57
1521640800,9023.38,9100.00,9023.39,9050.00,665.29
1521644400,9049.99,9174.00,9049.99,9055.00,1087.27
1521648000,8800.55,9063.51,9055.01,8866.07,2372.29
1521651600,8745.00,8908.56,8866.07,8855.01,2226.14
1521655200,8800.92,8933.46,8855.00,8870.00,626.66
1521658800,8870.00,8957.62,8870.00,8880.01,531.66
1521662400,8850.00,8908.00,8880.02,8894.99,459.30
1521666000,8888.00,8945.67,8894.97,8915.39,296.06
1521669600,8819.99,8924.95,8915.39,8835.90,616.56
1521673200,8809.96,8913.97,8835.90,8891.81,561.15
1521676800,8874.04,9048.00,8891.81,9025.01,713.26
1521680400,8997.69,9073.93,9025.01,9043.56,758.80
1521684000,9032.00,9069.02,9043.57,9036.20,302.90
1521687600,8981.72,9070.01,9036.20,9019.51,510.31
1521691200,8984.84,9020.00,9019.50,9019.54,298.60
1521694800,9000.00,9036.00,9019.53,9005.00,239.99
1521698400,9004.99,9030.00,9005.00,9016.10,123.92
1521702000,8915.45,9017.00,9016.10,8966.87,392.31
1521705600,8963.47,8999.86,8963.47,8999.86,76.05
1521709200,8722.07,9017.00,8999.86,8777.87,1334.46
1521712800,8670.00,8777.57,8776.00,8730.10,946.06
1521716400,8629.00,8748.98,8730.00,8649.99,782.07
1521720000,8649.87,8760.00,8649.99,8710.00,488.11
1521723600,8568.38,8720.00,8710.01,8600.01,816.23
1521727200,8467.27,8640.00,8600.01,8492.25,1614.49
1521730800,8492.24,8610.00,8492.25,8610.00,1002.06
1521734400,8576.00,8659.80,8609.99,8607.00,848.38
1521738000,8557.60,8684.00,8607.00,8664.00,907.11
1521741600,8630.76,8676.54,8664.00,8653.26,334.62
1521745200,8562.00,8669.00,8653.27,8603.93,638.32
1521748800,8576.08,8605.00,8603.93,8591.57,318.83
1521752400,8523.57,8636.12,8591.56,8599.99,488.87
1521756000,8599.99,8695.00,8600.00,8681.48,447.42
1521759600,8677.70,8768.38,8681.48,8715.09,606.96
1521763200,8634.90,8715.09,8715.09,8642.14,358.94
1521766800,8568.38,8642.45,8642.14,8602.51,668.43
1521770400,8372.00,8614.97,8602.51,8419.00,2271.65
1521774000,8343.03,8425.00,8418.99,8402.02,897.21
1521777600,8365.00,8459.99,8402.02,8412.06,440.94
1521781200,8350.10,8412.05,8412.05,8407.12,534.90
1521784800,8350.00,8447.63,8407.12,8363.02,295.96
1521788400,8363.01,8415.00,8363.02,8400.01,173.40
1521792000,8400.00,8516.73,8400.00,8480.01,415.53
1521795600,8470.00,8522.45,8480.01,8485.78,231.86
1521799200,8426.99,8490.00,8485.78,8480.00,156.80
1521802800,8452.27,8515.00,8480.00,8512.70,163.77
1521806400,8280.04,8512.70,8512.70,8318.01,686.14
1521810000,8293.37,8365.00,8318.01,8365.00,644.19
1521813600,8364.99,8603.00,8365.00,8573.00,1154.05
1521817200,8572.99,8673.67,8572.99,8631.00,1027.43
1521820800,8587.79,8650.00,8630.99,8630.02,410.39
1521824400,8611.60,8649.59,8630.01,8627.69,314.08
1521828000,8553.13,8700.00,8627.69,8613.41,1558.76
1521831600,8588.70,8632.18,8613.40,8632.17,330.33
1521835200,8560.06,8632.18,8632.17,8608.74,486.38
1521838800,8608.74,8659.36,8608.74,8659.36,335.79
1521842400,8617.72,8679.99,8659.36,8653.54,340.65
1521846000,8653.53,8927.81,8653.54,8927.10,1369.11
1521849600,8876.76,8966.55,8927.80,8906.94,1003.67
1521853200,8826.89,8911.33,8906.94,8828.50,459.71
1521856800,8814.46,8900.00,8828.50,8888.06,397.13
1521860400,8860.59,8895.03,8888.06,8877.74,152.62
1521864000,8869.11,8950.00,8877.74,8940.38,407.35
1521867600,8840.00,8955.00,8940.37,8840.57,408.00
1521871200,8840.56,8895.00,8840.56,8890.70,176.43
1521874800,8890.69,8949.67,8890.69,8919.95,308.58
1521878400,8867.00,8919.89,8919.89,8882.52,105.92
1521882000,8867.00,8912.66,8882.52,8893.19,111.00
1521885600,8718.03,8893.19,8893.19,8779.71,809.08
1521889200,8707.00,8790.00,8779.71,8719.01,234.23
1521892800,8666.81,8884.64,8719.00,8863.90,432.95
1521896400,8838.44,8892.06,8855.85,8867.00,219.27
1521900000,8835.59,8999.00,8867.00,8973.38,661.35
1521903600,8917.00,8973.38,8973.38,8941.99,402.13
1521907200,8903.16,8956.60,8941.99,8925.46,480.54
1521910800,8860.00,8925.47,8925.47,8882.05,388.10
1521914400,8872.74,8918.45,8882.04,8910.00,219.38
1521918000,8885.24,8945.00,8910.00,8905.00,413.52
1521921600,8905.00,8960.00,8905.00,8945.89,375.92
1521925200,8625.30,8945.90,8945.89,8680.00,1388.57
1521928800,8575.00,8717.97,8680.00,8639.85,1384.43
1521932400,8508.00,8665.63,8639.84,8531.34,923.55
1521936000,8476.00,8549.61,8531.96,8547.89,754.52
1521939600,8505.00,8587.97,8547.89,8534.99,506.31
1521943200,8450.00,8555.47,8535.00,8478.69,332.33
1521946800,8450.00,8557.49,8478.68,8541.01,368.44
1521950400,8500.00,8550.00,8541.01,8524.05,269.71
1521954000,8524.04,8574.63,8524.05,8530.00,195.96
